Name,Type,Tags,Event,Date,Place,"lat,long",Description,Source,Image,Role,Contacted,Column
Alliance Design Team,Architect,,Consultation for vic park plans,,Vic Park Tunnel,"-36.863174, 174.633354",design team proposing tunnel plans,Vic Park Tunnel plans (tunamau),find image,Were part of the consultation for the VPT design,,
Community Design Studio,Architect,,Auckland Waterfront Story,,Auckland Waterfront,"-36.853371, 174.771072",Design studio at the School of Architecture,The Auckland Waterfront Story Part 1,find image of Community Design Studio members,design studio which drafted some proposals,,
Auckland City Council,Auckland Goverment,,purchase of land and heritage buildings,1994,Britomart precinct,"-36.849850, 174.762442",wrote proposal through its own property divison,"Urban designs as practice-led research, John Hunt",https://goo.gl/images/ihcAUf,prepared comprehensive redevelopment proposal,,
Independent Maori Statutory Board,Auckland Goverment,,Statutory Board Organizing,2009,Auckland,"-36.845452, 174.758440",section 67 of the local government act 2009 establishes the board,Te Puni Kokiri- realizing maori  potential,find image of section 67,"to assist the Auckland council to make decisions, perform its functions, and exercise its powers",,
Royal Commission on Auckland Governance,Auckland Goverment,,Super City,March 2009,Auckland,"-41.213492, 174.901756","Established by New Zealand government: loo, into local government arrangements of Auckland",IHI Submission,http://www.mahurangi.org.nz/wp/wp-content/uploads/2017/04/Royal-Commission-on-Auckland-Governance-Report.pdf (link to the PDF of the report),"Included ""strong recommendation that Maori should be represented on the Auckland Council in the form of three seats, shared between manawhenua and Maori... also recommended the appointment of a manawhenua forum with powers to appoint members of Watercare’s Maori Advisory Group"" (2).",,
Auckland Regional Council,Auckland Goverment,,Design Competition,2009,Auckland,"-36.849850, 174.762442",Governmental entity of Auckland,QW Design Brief Stage 2,find image of council,"Along with the other two groups, released this brief / was a project sponsor",,
Auckland City Council,Auckland Goverment,,Design Competition,2009,Auckland,"-36.849850, 174.762442",Governmental entity of Auckland,QW Design Brief Stage 2,find image of council,"Along with the other two groups, released this brief / was a project sponsor",,
Independent Maori Statutory Board,Auckland Goverment,,Supercity,2010,Auckland,"-36.845452, 174.758440",Maori representatives for supercity governemnt,no supercity without Maori letter to parliment,,Fulfill an exclusively advisory role to supercity government,,
Auckland Regional Council (ARC,Auckland Goverment,,Improving Auckland visitor economy,January 2007,Auckland,"-36.849850, 174.762442",Regional Council for Auckland,ARC Queens Wharf Timeline,http://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Auckland_Regional_Council_logo.svg/440px-Auckland_Regional_Council_logo.svg.png,Confirmed the importance of the working port for the economy and the need for better public access to the waterfront,,
Auckland Regional Council (ARC,Auckland Goverment,,Improving Auckland visitor economy,February 2008,Auckland,"-36.849850, 174.762442",Regional Council for Auckland,ARC Queens Wharf Timeline,http://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Auckland_Regional_Council_logo.svg/440px-Auckland_Regional_Council_logo.svg.png,States support for a cruise terminal and public open space on Queens Wharf,,
Auckland Regional Council (ARC,Auckland Goverment,,Improving Auckland visitor economy,March 2008,Auckland,"-36.849850, 174.762442",Regional Council for Auckland,ARC Queens Wharf Timeline,http://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Auckland_Regional_Council_logo.svg/440px-Auckland_Regional_Council_logo.svg.png,Announces Queens Wharf as a golden opportunity for Auckland to cash in on the cruise ship industry,,
Auckland Regional Council (ARC,Auckland Goverment,,Improving Auckland visitor economy,January 2009,Auckland,"-36.849850, 174.762442",Regional Council for Auckland,ARC Queens Wharf Timeline,http://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Auckland_Regional_Council_logo.svg/440px-Auckland_Regional_Council_logo.svg.png,Establishes Cruise Ship Terminal Project,,
Auckland Regional Council (ARC,Auckland Goverment,,Improving Auckland visitor economy,June 2009,Auckland,"-36.849850, 174.762442",Regional Council for Auckland,ARC Queens Wharf Timeline,See above,Announces purchase of whaf from Ports of Auckland Ltd for $40 million and confirm it will be opened to the public by the RWC 2011 and a developed cruise terminal,,
Chief Executives of Auckland City,Auckland Goverment,,Design Cometition,October 2009,Auckland,"-36.849850, 174.762442",,Cross Section: Getting Competitive,find image,Final deicion makers in Stage 1,,
Auckland Civic Trust,Auckland Goverment,,Auckland Waterfront Story,,Auckland Waterfront,,interest group throughout Auckland looking to preserve heritage,The Auckland Waterfront Story Part 1,Find image of Auckland Civic Trust members,Organization that oversaw the auckland waterfront,,
The Auckland Harbour Board,Auckland Goverment,,Auckland Waterfront Story,,Auckland Waterfront,,"an elected body made up of local business people, Hamilton Lawyers, provincial farmers",The Auckland Waterfront Story Part 1,,Organization that oversaw the auckland waterfront,,
Watercare Maori Advisory Group,Auckland Government,,Super City,2011,Auckland,,Auckland Council Organization,IHI Submission,find image,"""The Royal Commission also recommended the appointment of a manawhenua forum with powers to appoint members of Watercare’s Maori Advisory Group"" (2).",,
Auckland Regional Council (ARC,Auckland Government,,Improving Auckland visitor economy,August 2009,Auckland,,Regional Council for Auckland,ARC Queens Wharf Timeline,see above,Sponsor of Queens Wharf design competition,,
Auckland City Council,Auckland Government,,Improving Auckland visitor economy,August 2009,Auckland,"-36.849850, 174.762442",City Council for Auckland,ARC Queens Wharf Timeline,see above ,Sponsor of Queens Wharf design competition,,
Auckland Regional Council and the Ministry of Economic Development,Auckland Government,,Design Cometition,October 2009,Auckland,"-41.278817, 174.774503",,Cross Section: Getting Competitive,https://upload.wikimedia.org/wikipedia/en/5/51/Ministry_of_Economic_Development_%28New_Zealand%29_logo.png,Final deicion makers in Stage 1,,
